state,county,County_name,Civilian_labor_force_2019,Unemployed_2019,Unemployment_rate_2019,State_Abbr,less_than_high_school,high_school_diploma,some_college,bach_degree,CENSUS_2010_POP,ESTIMATES_BASE_2010,POP_ESTIMATE_2019,N_POP_CHG_2019,Births_2019,Deaths_2019,NATURAL_INC_2019,INTERNATIONAL_MIG_2019,DOMESTIC_MIG_2019,NET_MIG_2019,RESIDUAL_2019,GQ_ESTIMATES_2019,R_birth_2019,R_death_2019,R_NATURAL_INC_2019,R_INTERNATIONAL_MIG_2019,R_DOMESTIC_MIG_2019,R_NET_MIG_2019,cases,deaths
29,051,Cole County,39051,1014,2.6,MO,4246,16159,14918,17308,75990,75975,76745,25,863,684,179,57,-210,-153,-1,4913,11.246864106,8.914084645,2.332779461,0.742840387,-2.736780373,-1.993939986,3430,26
29,053,Cooper County,7481,276,3.7,MO,1349,4751,3507,2623,17601,17604,17709,83,202,184,18,12,56,68,-3,1539,11.433422952,10.414603085,1.018819867,0.679213245,3.169661808,3.848875053,678,4
29,055,Crawford County,10980,414,3.8,MO,3868,6631,4464,1893,24696,24719,23920,-48,250,296,-46,-4,3,-1,-1,332,10.441029068,12.362178416,-1.921149348,-0.167056465,0.125292349,-0.041764116,695,9
29,057,Dade County,3545,111,3.1,MO,755,2405,1553,744,7883,7879,7561,-3,66,109,-43,5,36,41,-1,133,8.727272727,14.41322314,-5.685950413,0.661157025,4.760330578,5.421487603,152,0
29,059,Dallas County,7081,319,4.5,MO,2046,4785,3122,1406,16777,16769,16878,96,213,207,6,-1,94,93,-3,199,12.65597148,12.299465241,0.356506239,-0.059417706,5.585264409,5.525846702,406,2
29,061,Daviess County,4102,137,3.3,MO,844,2245,1421,999,8433,8429,8278,-56,117,80,37,0,-92,-92,-1,152,14.086202745,9.631591621,4.454611125,0,-11.07633036,-11.07633036,233,4
29,063,DeKalb County,4838,149,3.1,MO,1212,4279,2492,1442,12892,12884,12547,32,98,114,-16,-5,54,49,-1,3457,7.820604900,9.097438353,-1.276833453,-0.399010454,4.309312904,3.910302450,320,2
29,065,Dent County,6269,225,3.6,MO,2097,4431,2850,1599,15657,15692,15573,26,174,184,-10,6,31,37,-1,201,11.18251928,11.825192802,-0.642673522,0.385604113,1.992287918,2.377892031,276,4
29,067,Douglas County,5107,258,5.1,MO,1796,4289,2544,1008,13684,13686,13185,-174,155,180,-25,-7,-142,-149,0,123,11.678722122,13.56238698,-1.883664858,-0.52742616,-10.6992164,-11.22664256,305,12
29,069,Dunklin County,11598,642,5.5,MO,4919,7497,5022,2631,31953,31957,29131,-347,357,447,-90,29,-287,-258,1,672,12.18242932,15.253629989,-3.071200669,0.989609104,-9.793717688,-8.804108584,1198,13
29,071,Franklin County,53226,1715,3.2,MO,8476,23225,24949,14241,101492,101468,103967,251,1186,1047,139,12,106,118,-6,858,11.421252582,10.082674075,1.338578507,0.115560734,1.020786487,1.136347221,2941,48
29,073,Gasconade County,7732,262,3.4,MO,1340,4155,3073,2003,15222,15206,14706,26,152,197,-45,-1,74,73,-2,250,10.345062275,13.407745185,-3.06268291,-0.06805962,5.036411897,4.968352277,289,24
29,075,Gentry County,3529,96,2.7,MO,488,1942,1270,813,6738,6740,6571,-27,83,90,-7,0,-19,-19,-1,177,12.605361075,13.668463817,-1.063102741,0,-2.885564583,-2.885564583,201,10
29,077,Greene County,151535,4074,2.7,MO,15773,52936,62556,56756,275174,275179,293086,2032,3269,2773,496,224,1310,1534,2,11278,11.192522341,9.494299312,1.698223029,0.766939432,4.485226144,5.252165577,9999,154
29,079,Grundy County,4394,154,3.5,MO,819,2704,1969,1272,10261,10260,9850,-125,151,118,33,6,-165,-159,1,350,15.233291299,11.904161412,3.329129887,0.605296343,-16.64564943,-16.04035309,284,11
29,081,Harrison County,3822,127,3.3,MO,753,2693,1485,953,8957,8961,8352,-42,86,114,-28,-3,-10,-13,-1,145,10.271109519,13.615191688,-3.344082169,-0.358294518,-1.19431506,-1.552609578,197,1
29,083,Henry County,9728,364,3.7,MO,1876,6578,4646,2395,22272,22291,21824,16,236,290,-54,-6,76,70,0,233,10.817748442,13.292995966,-2.475247525,-0.275027503,3.483681702,3.208654199,444,8
29,085,Hickory County,3842,161,4.2,MO,1105,3175,2299,732,9627,9629,9544,86,87,137,-50,-3,138,135,1,75,9.156930849,14.419534786,-5.262603936,-0.315756236,14.524786865,14.209030628,255,4
29,087,Holt County,2588,73,2.8,MO,301,1449,895,653,4912,4912,4403,-9,43,57,-14,0,6,6,-1,101,9.756097561,12.932501418,-3.176403857,0,1.361315939,1.361315939,127,1
29,089,Howard County,4898,152,3.1,MO,761,2530,1674,1606,10144,10142,10001,-58,107,87,20,0,-78,-78,0,719,10.667996012,8.673978066,1.994017946,0,-7.77666999,-7.77666999,273,2
29,091,Howell County,16541,671,4.1,MO,3473,10783,8506,4499,40400,40386,40117,-9,504,508,-4,9,-11,-2,-3,608,12.561843401,12.661540571,-0.09969717,0.224318632,-0.274167217,-0.049848585,1274,14
